"product_name","product_url","product_brand","product_price_int","product_price_float","product_image"
"Men's Oo9460 Portal X Rectangular Sunglasses","https://www.amazon.com/OO9460-Portal-Rectangular-Sunglasses-Polished/dp/B0848ZDQ9W/ref=sr_1_993?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-993","Oakley","166.","00","https://m.media-amazon.com/images/I/618jXXNyovL._AC_UL320_.jpg"
"Rio | Round Women's & Men's Sunglasses | 52 mm","https://www.amazon.com/MVMT-Non-Polarized-Womens-Sunglasses-Tortoise/dp/B07CJ28G9P/ref=sr_1_994?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-994","MVMT","49.","00","https://m.media-amazon.com/images/I/61LzvXlkyoL._AC_UL320_.jpg"
"Women's Sport Flat Top Sunglasses","https://www.amazon.com/Marc-Jacobs-Womens-Sport-Sunglasses/dp/B07MC4L4QB/ref=sr_1_995?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-995","Marc Jacobs","54.","20","https://m.media-amazon.com/images/I/51EWBqpIaWL._AC_UL320_.jpg"
"Cateye Sunglasses for Women Fashion Retro Vintage Narrow Clout Goggles Metal Frame SJ1091","https://www.amazon.com/SOJOS-Sunglasses-Vintage-Mirrored-SJ1091/dp/B07BCCHJ13/ref=sr_1_996?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-996","SOJOS","12.","92","https://m.media-amazon.com/images/I/51hNTNyEaHL._AC_UL320_.jpg"
"Eyewear Women's O'Malley Sunglasses","https://www.amazon.com/Oliver-Peoples-Eyewear-OMalley-Sunglasses/dp/B07X5448Y5/ref=sr_1_997?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-997","OLIVER PEOPLES","246.","00","https://m.media-amazon.com/images/I/51vGd8rCNBL._AC_UL320_.jpg"
"Retro Horn Rimmed Keyhole Nose Bridge P3 Round Sunglasses 49mm","https://www.amazon.com/Rimmed-Keyhole-Bridge-Sunglasses-Clear-Yellow-Tortoise/dp/B01M19K1VA/ref=sr_1_998?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-998","zeroUV","9.","99","https://m.media-amazon.com/images/I/61GySUA6aeL._AC_UL320_.jpg"
"R159S Aviator Sunglasses, Rose Gold/Pink, 60 mm","https://www.amazon.com/Calvin-Klein-R159S-Aviator-Sunglasses/dp/B01N65F19Q/ref=sr_1_999?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-999","Calvin Klein","67.","90","https://m.media-amazon.com/images/I/61g4mvnMrWL._AC_UL320_.jpg"
"Men's Ph4133 Rectangular Sunglasses","https://www.amazon.com/Polo-Ralph-Lauren-Sunglass-Rectangular/dp/B079RDJGNS/ref=sr_1_1000?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-1000","Polo Ralph Lauren","75.","14","https://m.media-amazon.com/images/I/71kExprdBfL._AC_UL320_.jpg"
"Randolph Concorde Classic Aviator Sunglasses for Men or Women 100% UV","https://www.amazon.com/Randolph-Concorde-Classic-Sunglasses-Polarized/dp/B07RLQJMYN/ref=sr_1_1001?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-1001","Randolph Engineering","329.","00","https://m.media-amazon.com/images/I/71QHbqnRSlL._AC_UL320_.jpg"
"Women's Vivienne Mini Sunglasses","https://www.amazon.com/Quay-Womens-Vivienne-Sunglasses-Brown/dp/B07XQNLPDM/ref=sr_1_1002?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-1002","Quay","","","https://m.media-amazon.com/images/I/51S9hRHL6iL._AC_UL320_.jpg"
"Optic Helm 2","https://www.amazon.com/Helm-Dale-Jr-Matte-Black/dp/B07TSG1H13/ref=sr_1_1003?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-1003","Spy","100.","00","https://m.media-amazon.com/images/I/61yW0TMIMGL._AC_UL320_.jpg"
"Women's Noronha Round Sunglasses","https://www.amazon.com/Havaianas-Womens-Noronha-Sunglasses-DKGRNBLUE/dp/B00BNRZPO0/ref=sr_1_1004?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-1004","Havaianas","36.","67","https://m.media-amazon.com/images/I/71JU4s0Fq4L._AC_UL320_.jpg"
"Men's Fantail 580P Polarized Rectangular Sunglasses, Blackout/Grey Blue Mirrored Polarized-580P, 59 mm","https://www.amazon.com/Costa-Del-Mar-Sunglasses-Blackout/dp/B00SBY5YXA/ref=sr_1_1005?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-1005","Costa Del Mar","181.","82","https://m.media-amazon.com/images/I/51jHEDUQf1L._AC_UL320_.jpg"
"RA4004 Pilot Sunglasses For Women+FREE Complimentary Eyewear Care Kit","https://www.amazon.com/Ralph-Lauren-RA4004-Sunglasses-Complimentary/dp/B07ZQMZDMT/ref=sr_1_1006?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-1006","Ralph Lauren","115.","00","https://m.media-amazon.com/images/I/416PJs6oIzL._AC_UL320_.jpg"
"GG0053S","https://www.amazon.com/Gucci-Womens-Oversized-Square-Sunglasses/dp/B06XCKQ7D2/ref=sr_1_1007?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-1007","Gucci","195.","00","https://m.media-amazon.com/images/I/61xgSmNN+iL._AC_UL320_.jpg"
"Men's Motu Rectangular Sunglasses","https://www.amazon.com/Costa-Del-Mar-Sunglasses-Plastic/dp/B019FMMMQS/ref=sr_1_1008?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-1008","Costa Del Mar","198.","98","https://m.media-amazon.com/images/I/71cp-nEuinL._AC_UL320_.jpg"
"R159S Aviator Sunglasses, Rose Gold/Pink, 60 mm","https://www.amazon.com/Calvin-Klein-R159S-Aviator-Sunglasses/dp/B01N65F19Q/ref=sr_1_1009?dchild=1&keywords=sunglasses&qid=1596432885&s=apparel&sr=1-1009","Calvin Klein","67.","90","https://m.media-amazon.com/images/I/61g4mvnMrWL._AC_UL320_.jpg"
"Optic Helm 2","https://www.amazon.com/Helm-Dale-Jr-Matte-Black/dp/B07TSG1H13/ref=sr_1_1010?dchild=1&keywords=sunglasses&qid=1596432885&s=apparel&sr=1-1010","Spy","100.","00","https://m.media-amazon.com/images/I/61yW0TMIMGL._AC_UL320_.jpg"
"Men's Fantail 580P Polarized Rectangular Sunglasses, Blackout/Grey Blue Mirrored Polarized-580P, 59 mm","https://www.amazon.com/Costa-Del-Mar-Sunglasses-Blackout/dp/B00SBY5YXA/ref=sr_1_1011?dchild=1&keywords=sunglasses&qid=1596432885&s=apparel&sr=1-1011","Costa Del Mar","181.","82","https://m.media-amazon.com/images/I/51jHEDUQf1L._AC_UL320_.jpg"
